Altenberg, Peter;gnd_118502255
Dehmel, Ida;gnd_118679228
Dehmel, Richard;gnd_118679236
Kraus, Karl;gnd_118566288
Loos, Adolf;gnd_11857423X
Loos, Lina;gnd_119201046
Wymetal, Wilhelm Ritter von;gnd_1047505134
Liliencron, Detlev von;gnd_118572954
Kahle, Erich;gnd_1049717023
Ansorge, Conrad;gnd_116014326
Wolfthorn, Julie;gnd_1012920224
Auerbach-Dehmel, Heinz Lux;gnd_127724877
Auerbach, Anna;gnd_116377216
Böckel, Fritz;gnd_116216689
Behrens, Peter;gnd_118508466
Bachmann, Alf;gnd_119107457
Behrens, Lilli;gnd_116111364
Bosselt, Rudolf;gnd_119282380
Krebs, Otto;gnd_133536386
Brecher, Gustav;gnd_119001314
Heine, Beate;gnd_1205396160
Wedekind, Frank;gnd_118629867
Weber, Hans von;gnd_119164086
Steiger, Edgar;gnd_117237426
Schweizer, Victor;gnd_102605057X
Rehburg, Max;gnd_116392096
Merian, Hans;gnd_116892013
Martens, Kurt;gnd_116800992
Kühn, Paul;gnd_116588659
Klinger, Max;gnd_118563335
Heine, Carl;gnd_116659297
Dehmel, Fedor;gnd_1219881872
Dehmel, Luise;gnd_1219872237
Ginzkey, Franz Karl;gnd_118695061
Müller, Hans;gnd_117225789
Franzos, Marie;gnd_116720298
Freund, Fritz;gnd_1048028283
Zweig, Stefan;gnd_118637479
Zimmermann, Elsa;gnd_1243794372
Stefan, Paul;gnd_117225789
Lindner, Anton;gnd_117026190
Horwitz, Carl;gnd_117011789
Hoffmann, Camill;gnd_119361973
Schaumberger, Julius;gnd_117112712
Halbe, Luise;gnd_116394161
Falke, Gustav;gnd_118685929
Heilmann, Hans;gnd_116651776
Holz, Arno;gnd_118553216
Key, Ellen;gnd_11893449X
Meier-Graefe, Julius;gnd_118732641
Strindberg, August;gnd_118619314
Przybyszewski, Stanisław;gnd_118742108
Paul, Adolf;gnd_116060808
Schütze, Karl;gnd_1237217970
Thoma, Hans;gnd_118622064
Thoma, Agathe;gnd_117344028
Wimmer, Siegmund;gnd_1243982810
Donath, Adolph;gnd_11947042X
Donath, unbekannt;k.A.
Falke, Gustav;gnd_118685929
Flaischlen, Cäsar;gnd_118683829
Gast, Peter;gnd_118537725
Kielmansegg, von;__6f9595720c15016c3882b30f46d0bf4e
Witte Kopp, Benedictus;gnd_124400281X
Lindner, Eugen;gnd_117041181
Herwi., R.;gnd_1243990902
Holtorf, Alma;gnd_121483146X
Kapff, Aline von;gnd_116045264
Kühl, Gustav;gnd_116592931
Liliencron, Anna von;gnd_117005320
Reinert, Elise;gnd_1243988797
Salzer, Marcell;gnd_116776854
Schulz, Henry;__c022ca5ade3572583800805584eee768
Simon, Charles;gnd_1089544375
Wolzogen, Ernst von;gnd_11889028X
Zilcher, Hermann;gnd_118636847
Lottig, William;gnd_1099442044
Münchhausen, Börries von;gnd_118785273
Servaes, Franz;gnd_117467979
Verhaeren, Emile;gnd_118768085
Unbekannt (1);k.A.
Unbekannt (2);k.A.
Unbekannt (3);k.A.
Unbekannt (4);k.A.
Unbekannt (5);k.A.
Unbekannt (6);k.A.
Unbekannt (7);k.A.
Unbekannt (8);k.A.
